CustomerID;Customer;City;State-Province;Country-Region;Postal Code
11024;Russell Xie;Concord;California;United States;94519
11081;Savannah Baker;Concord;California;United States;94519
11160;Maurice Tang;Concord;California;United States;94519
11161;Emily Wood;Concord;California;United States;94519
11184;Meghan Hernandez;Concord;California;United States;94519
11295;Taylor Lewis;Concord;California;United States;94519
11329;Andy Alvarez;Concord;California;United States;94519
11499;Pedro Vance;Concord;California;United States;94519
11539;Justin Washington;Concord;California;United States;94519
11655;Tamara Sharma;Concord;California;United States;94519
11733;Kristi Schmidt;Concord;California;United States;94519
11851;Jada Mitchell;Concord;California;United States;94519
11853;Grace Jones;Concord;California;United States;94519
11945;Dennis Huang;Concord;California;United States;94519
12146;Xavier Thomas;Concord;California;United States;94519
12411;Kevin Alexander;Concord;California;United States;94519
12429;Melvin Black;Concord;California;United States;94519
13017;Xavier Alexander;Concord;California;United States;94519
13060;Eugene Zhu;Concord;California;United States;94519
13162;Nina Nath;Concord;California;United States;94519
13167;Mario Tang;Concord;California;United States;94519
13189;Gloria Romero;Concord;California;United States;94519
13208;Cassidy Bryant;Concord;California;United States;94519
13219;Rafael Shan;Concord;California;United States;94519
13333;Tara Chander;Concord;California;United States;94519
13360;Jada Cook;Concord;California;United States;94519
13365;Luke Shan;Concord;California;United States;94519
13376;Jerry Rai;Concord;California;United States;94519
13873;Russell Jai;Concord;California;United States;94519
13902;Jeremiah Simmons;Concord;California;United States;94519
13921;Joseph Jones;Concord;California;United States;94519
14023;Beth Carlson;Concord;California;United States;94519
14250;Adam Collins;Concord;California;United States;94519
14292;Isabella Ross;Concord;California;United States;94519
14368;Richard Thompson;Concord;California;United States;94519
14383;Marvin Ferrier;Concord;California;United States;94519
14433;Jennifer Peterson;Concord;California;United States;94519
14562;Bryce Stewart;Concord;California;United States;94519
14590;Marissa Butler;Concord;California;United States;94519
14601;Nicolas Rai;Concord;California;United States;94519
14615;Audrey Dominguez;Concord;California;United States;94519
14616;Emma Sandberg;Concord;California;United States;94519
14653;Troy Fernandez;Concord;California;United States;94519
14907;Sheena Anand;Concord;California;United States;94519
14919;Erik Torres;Concord;California;United States;94519
15156;Dylan Foster;Concord;California;United States;94519
15166;Nina Goel;Concord;California;United States;94519
15177;Jorge Lu;Concord;California;United States;94519
15195;Edwin Huang;Concord;California;United States;94519
15319;Jade Sanchez;Concord;California;United States;94519
15341;Lacey Deng;Concord;California;United States;94519
15342;Ashlee Raji;Concord;California;United States;94519
15433;Adam Sharma;Concord;California;United States;94519
15554;Zoe Bailey;Concord;California;United States;94519
15858;Jonathan Parker;Concord;California;United States;94519
16061;Miguel Butler;Concord;California;United States;94519
16371;Caleb Diaz;Concord;California;United States;94519
16768;Eduardo Barnes;Concord;California;United States;94519
16843;Jimmy Ramos;Concord;California;United States;94519
16874;Leslie Munoz;Concord;California;United States;94519
16901;Ricky Munoz;Concord;California;United States;94519
16924;Julia Price;Concord;California;United States;94519
16984;Rodney Moreno;Concord;California;United States;94519
16994;Deanna Torres;Concord;California;United States;94519
17145;Sarah Bennett;Concord;California;United States;94519
17447;Sydney Lewis;Concord;California;United States;94519
17455;Dylan Hayes;Concord;California;United States;94519
17525;Adam Wright;Concord;California;United States;94519
17555;William Smith;Concord;California;United States;94519
17562;Zachary Sharma;Concord;California;United States;94519
18086;Jaclyn Zeng;Concord;California;United States;94519
18328;Alvin Rai;Concord;California;United States;94519
18399;Sara Torres;Concord;California;United States;94519
18418;Dawn Sun;Concord;California;United States;94519
18459;Toni Sai;Concord;California;United States;94519
18552;Kelsey Goel;Concord;California;United States;94519
18556;Ruben Perez;Concord;California;United States;94519
18610;Bailey Rivera;Concord;California;United States;94519
18866;Miguel Scott;Concord;California;United States;94519
18948;Sydney Bailey;Concord;California;United States;94519
19010;Naomi Ortega;Concord;California;United States;94519
19145;Adriana Malhotra;Concord;California;United States;94519
19230;Joy Moreno;Concord;California;United States;94519
19242;Devin Baker;Concord;California;United States;94519
19671;Michael Davis;Concord;California;United States;94519
19747;Louis Rai;Concord;California;United States;94519
19825;Gilbert Ferrier;Concord;California;United States;94519
20004;Kaitlin Perez;Concord;California;United States;94519
20074;Preston Madan;Concord;California;United States;94519
20090;Blake Edwards;Concord;California;United States;94519
20278;Alisha Oliver;Concord;California;United States;94519
20306;Mary Baker;Concord;California;United States;94519
20336;Ian Young;Concord;California;United States;94519
20376;Destiny Lewis;Concord;California;United States;94519
20391;Meghan Serrano;Concord;California;United States;94519
20647;Jared Bailey;Concord;California;United States;94519
20658;Kaylee Campbell;Concord;California;United States;94519
20668;Eric Rothenberg;Concord;California;United States;94519
20672;Fernando Ross;Concord;California;United States;94519
20755;Alex Lopez;Concord;California;United States;94519
21293;Ashley Garcia;Concord;California;United States;94519
21341;Louis Liu;Concord;California;United States;94519
21433;Gerald Martinez;Concord;California;United States;94519
21448;Jenna Nelson;Concord;California;United States;94519
21449;Devon Raheem;Concord;California;United States;94519
21451;Jocelyn Ross;Concord;California;United States;94519
21454;Alvin Goldstein;Concord;California;United States;94519
21615;Grace Torres;Concord;California;United States;94519
21643;Wyatt Diaz;Concord;California;United States;94519
21649;Keith Nara;Concord;California;United States;94519
21698;Tracy She;Concord;California;United States;94519
21724;Mandy Yang;Concord;California;United States;94519
21760;Margaret She;Concord;California;United States;94519
21769;Michele Rubio;Concord;California;United States;94519
21779;Maurice Black;Concord;California;United States;94519
21780;Pedro Gonzalez;Concord;California;United States;94519
21800;Heidi Raman;Concord;California;United States;94519
21918;Carol Serrano;Concord;California;United States;94519
22077;Marvin Rubio;Concord;California;United States;94519
22086;Chelsea Sanchez;Concord;California;United States;94519
22111;Gabriella King;Concord;California;United States;94519
22139;Jaime Pal;Concord;California;United States;94519
